no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,bookImageURL,bookDtlUrl,loan_count
1001,999,웃소,원작: 웃소 ;그림: 박강호,미래엔,2021,9791168418189,77810,9,810,문학 > 한국문학 > 한국문학,https://image.aladin.co.kr/product/33948/98/cover200/k252930237_1.jpg,https://data4library.kr/bookV?seq=6875974,1026
1002,999,새들이 남쪽으로 가는 날 :리사 리드센 소설 ,지은이: 리사 리드센 ;옮긴이: 손화수,책읽어주는남자,2024,9791193937372,03850,,859.7,문학 > 독일문학 > 기타 게르만 문학,https://image.aladin.co.kr/product/35276/47/cover200/k442934552_1.jpg,https://data4library.kr/bookV?seq=6980007,1026
1003,1003,기사단장 죽이기 :무라카미 하루키 장편소설 ,지은이: 무라카미 하루키 ;옮긴이: 홍은주,문학동네,2017,9788954646123,04830,1,833.6,문학 > 일본문학 > 소설,http://image.aladin.co.kr/product/16750/96/cover/k282534566_2.jpg,https://data4library.kr/bookV?seq=3467245,1025
1004,1004,나의 폴라 일지 :김금희 산문 ,지은이: 김금희,한겨레엔,2025,9791172132057,03810,,814.7,문학 > 한국문학 > 수필,https://image.aladin.co.kr/product/35579/67/cover200/k742036792_3.jpg,https://data4library.kr/bookV?seq=7004871,1023
1005,1005,브레드이발소 =Bread barbershop,원작·그림: 몬스터스튜디오,한솔수북,2020,9791170289425,77810,6,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/29131/62/cover/k922837466_1.jpg,https://data4library.kr/bookV?seq=6428920,1022
1006,1006,설민석의 삼국지 대모험,원작: 나관중 ;만화: 스튜디오 담,Dankkum i(단꿈아이),2021,9791191496185,77820,7,823.5,문학 > 중국문학 > 소설,https://image.aladin.co.kr/product/29507/20/cover/k432837147_1.jpg,https://data4library.kr/bookV?seq=6467177,1021
1007,1007,퀸의 대각선 :베르나르 베르베르 장편소설 ,지은이: 베르나르 베르베르 ;옮긴이: 전미연,열린책들,2024,9788932924397,04860,1,863,문학 > 프랑스문학 > 소설,https://image.aladin.co.kr/product/34121/41/cover200/8932924392_1.jpg,https://data4library.kr/bookV?seq=6890221,1020
1008,1008,엉덩이탐정 :뿡뿡 쪼그만 서장의 대위기!? ,트롤 글·그림 ;전경아 옮김,문학수첩리틀북,2017,9788959762088,77830,3,833.6,문학 > 일본문학 > 소설,http://image.aladin.co.kr/product/10820/1/cover/8959762083_1.jpg,https://data4library.kr/bookV?seq=3433852,1018
1009,1009,이상한 엄마 :백희나 그림책 ,백희나,스토리보울,2024,9791198610645,77810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/33894/20/cover200/k312930726_1.jpg,https://data4library.kr/bookV?seq=6872684,1016
1010,1010,이게 정말 나일까? ,요시타케 신스케 글·그림 ;김소연 옮김,김영사,2015,9788934971634,77830,,833.6,문학 > 일본문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/095/870/09587075.jpg?type=m1&udate=20180214,https://data4library.kr/bookV?seq=2880234,1015
1011,1011,여자 없는 남자들 :무라카미 하루키 소설 ,지은이: 무라카미 하루키 ;옮긴이: 양윤옥,문학동네,2014,9788954625586,03830,,833.6,문학 > 일본문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/080/089/08008947.jpg?type=m1&udate=20180314,https://data4library.kr/bookV?seq=2331294,1014
1012,1012,에블린 휴고의 일곱 남편 ,테일러 젠킨스 레이드 지음 ;박미경 옮김,에스알제이,2023,9791188102235,03840,,843.6,문학 > 영미문학 > 소설,https://image.aladin.co.kr/product/31792/29/cover/k442833114_1.jpg,https://data4library.kr/bookV?seq=6702798,1013
1013,1013,미키7 :에드워드 애슈턴 SF 장편소설 ,지은이: 에드워드 애슈턴 ;옮긴이: 진서희,황금가지,2023,9791170523376,04840,,843.6,문학 > 영미문학 > 소설,https://image.aladin.co.kr/product/32956/71/cover/k832936243_1.jpg,https://data4library.kr/bookV?seq=6798655,1012
