no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,bookImageURL,bookDtlUrl,loan_count
1,1,소년이 온다 :한강 장편소설 ,지은이: 한강,창비,2014,9788936434120,3810.0,,813.62,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/4086/97/cover/8936434128_2.jpg,https://data4library.kr/bookV?seq=2037399,6300
2,2,홍학의 자리 :정해연 장편소설 ,지은이: 정해연,문학동네,2021,9788954681155,3810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/27587/94/cover/8954681158_1.jpg,https://data4library.kr/bookV?seq=6050062,5667
3,3,작별하지 않는다 :한강 장편소설 ,지은이: 한강,문학동네,2021,9788954682152,3810.0,,813.62,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/27877/5/cover/8954682154_1.jpg,https://data4library.kr/bookV?seq=6086446,5540
4,4,모순 :양귀자 장편소설 ,지은이: 양귀자,쓰다,2013,9788998441012,3810.0,,813.62,문학 > 한국문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/071/902/07190270.jpg?type=m1&udate=20170801,https://data4library.kr/bookV?seq=1938053,5478
5,5,나는 소망한다 내게 금지된 것을 :양귀자 장편소설 ,지은이: 양귀자,쓰다,2019,9788998441074,3810.0,,813.62,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/18936/52/cover/8998441071_1.jpg,https://data4library.kr/bookV?seq=5395822,4336
6,6,지구 끝의 온실 :김초엽 장편소설 ,지은이: 김초엽,Giant Books(자이언트북스),2021,9791191824001,3810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/27692/63/cover/k082733434_1.jpg,https://data4library.kr/bookV?seq=6065686,4238
7,7,채식주의자 :한강 장편소설 ,지은이: 한강,창비,2022,9788936434595,3810.0,,813.62,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/29137/2/cover/8936434594_1.jpg,https://data4library.kr/bookV?seq=6428779,4143
8,8,밝은 밤 :최은영 장편소설 ,지은이: 최은영,문학동네,2021,9788954681179,3810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/27541/91/cover/8954681174_1.jpg,https://data4library.kr/bookV?seq=6045915,3886
9,9,불편한 편의점 :김호연 장편소설 ,지은이: 김호연,나무옆의자,2021,9791161571188,3810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/26942/84/cover/k582730818_1.jpg,https://data4library.kr/bookV?seq=5962217,3807
10,10,채식주의자:한강 연작소설,한강,창비,2007,9788936433598,3810.0,,813.6,문학 > 한국문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/033/094/03309417.jpg?type=m1&udate=20180609,https://data4library.kr/bookV?seq=2155671,3692
11,11,천 개의 파랑 :천선란 장편소설 ,지은이: 천선란,허블,2020,9791190090261,3810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/24895/69/cover/k882632470_2.jpg,https://data4library.kr/bookV?seq=5738747,3665
12,12,이처럼 사소한 것들 :클레어 키건 소설 ,지은이: 클레어 키건 ;옮긴이: 홍한별,다산북스,2023,9791130646381,3840.0,,843.6,문학 > 영미문학 > 소설,https://shopping-phinf.pstatic.net/main_4390280/43902803626.20231108182642.jpg,https://data4library.kr/bookV?seq=6791651,3598
13,13,종의 기원 =정유정 장편소설 /The origin of species ,지은이: 정유정,은행나무,2016,9788956609959,3810.0,,813.7,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/7492/9/cover/8956609950_2.jpg,https://data4library.kr/bookV?seq=3151708,3465
14,14,급류 :정대건 장편소설 ,지은이: 정대건,민음사,2022,9788937473401,4810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/30769/24/cover/8937473402_1.jpg,https://data4library.kr/bookV?seq=6614564,3462
15,15,바깥은 여름 :김애란 소설 ,지은이: 김애란,문학동네,2017,9788954646079,3810.0,,813.7,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/15533/81/cover/k852533629_1.jpg,https://data4library.kr/bookV?seq=3451595,3391
16,16,지구에서 한아뿐 :정세랑 장편소설 ,지은이: 정세랑,난다,2019,9791188862290,3810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/19804/82/cover/k072635131_1.jpg,https://data4library.kr/bookV?seq=5446546,3317
17,17,프로젝트 헤일메리 ,앤디 위어 지음 ;강동혁 옮김,RHK(알에이치코리아),2021,9788925588735,4840.0,,843.6,문학 > 영미문학 > 소설,https://image.aladin.co.kr/product/27045/43/cover/8925588730_1.jpg,https://data4library.kr/bookV?seq=5969086,3312
18,18,이중 하나는 거짓말 :김애란 장편소설 ,지은이: 김애란,문학동네,2024,9791141601300,3810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/34474/76/cover200/k292932634_1.jpg,https://data4library.kr/bookV?seq=6933234,3254
19,19,우리가 빛의 속도로 갈 수 없다면 :김초엽 소설 ,지은이: 김초엽,허블,2019,9791190090018,3810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/19359/16/cover/s972635417_1.jpg,https://data4library.kr/bookV?seq=5430429,3204
20,20,두 사람의 인터내셔널 :김기태 소설 ,지은이: 김기태,문학동네,2024,9788954697941,3810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/33899/7/cover200/8954697941_1.jpg,https://data4library.kr/bookV?seq=6873522,3201
21,21,"칵테일, 러브, 좀비 ",지은이: 조예은,안전가옥,2020,9791190174756,3810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/23736/85/cover/k692639764_1.jpg,https://data4library.kr/bookV?seq=5650149,3189
22,22,"시선으로부터, :정세랑 장편소설 ",지은이: 정세랑,문학동네,2020,9788954672214,3810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/24131/37/cover/8954672213_1.jpg,https://data4library.kr/bookV?seq=5674475,3123
23,23,귀신들의 땅 :천쓰홍 장편 소설 ,지은이: 천쓰홍 ;옮긴이: 김태성,민음사,2023,9788937454820,3820.0,,823.7,문학 > 중국문학 > 소설,https://image.aladin.co.kr/product/33119/32/cover/8937454823_1.jpg,https://data4library.kr/bookV?seq=6811808,3111
24,24,달러구트 꿈 백화점 :주문하신 꿈은 매진입니다 ,지은이: 이미예,팩토리나인,2020,9791165341909,3810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/24512/70/cover/k392630952_1.jpg,https://data4library.kr/bookV?seq=5707051,2964
25,24,완전한 행복 :정유정 장편소설 ,지은이: 정유정,은행나무,2021,9791167370280,3810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/27225/29/cover/k432732398_2.jpg,https://data4library.kr/bookV?seq=5987427,2964
26,26,아주 희미한 빛으로도 :최은영 소설 ,지은이: 최은영,문학동네,2023,9788954695053,3810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/32129/40/cover/8954695051_1.jpg,https://data4library.kr/bookV?seq=6738257,2957
27,27,희랍어 시간 :한강 장편소설 ,지은이: 한강,문학동네,2011,9788954616515,3810.0,,813.62,문학 > 한국문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/067/707/06770742.jpg?type=m1&udate=20170801,https://data4library.kr/bookV?seq=1207905,2894
28,28,파과 :구병모 장편소설 ,지은이: 구병모,위즈덤하우스 미디어그룹,2018,9791162203620,3810.0,,813.7,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/14224/40/cover/k872532537_1.jpg,https://data4library.kr/bookV?seq=3742540,2871
29,29,대온실 수리 보고서 :김금희 장편소설 ,지은이: 김금희,창비,2024,9788936439651,3810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/34712/24/cover200/8936439650_2.jpg,https://data4library.kr/bookV?seq=6950753,2812
